Tipo Institución;Cód. Institución;Nombre Institución;Año Proceso;Nº Laboratorios;M2 Construido;Nº de PC para alumnos;N° Computadores con Internet
Univ.;1001;U. DE CHILE;2024;1.082;67.152;5.201;5.201
Univ.;1001;U. DE CHILE;2023;1.078;65.276;5.083;4.989
Univ.;1001;U. DE CHILE;2022;1.091;64.706;5.325;5.231
Univ.;1001;U. DE CHILE;2021;1.103;65.251;5.190;5.089
Univ.;1001;U. DE CHILE;2020;1.103;65.251;4.718;4.624
Univ.;1001;U. DE CHILE;2019;1.012;69.207;4.280;4.177
Univ.;1001;U. DE CHILE;2018;996;68.435;4.248;4.248
Univ.;1001;U. DE CHILE;2017;956;65.971;3.999;3.905
Univ.;1001;U. DE CHILE;2016;954;65.977;4.024;4.030
Univ.;1001;U. DE CHILE;2015;811;54.977;4.371;3.674
Univ.;1001;U. DE CHILE;2014;797;50.960;5.350;5.350
Univ.;1001;U. DE CHILE;2013;679;49.574;5.333;5.333
Univ.;1001;U. DE CHILE;2012;1.226;110.438;5.496;5.496
Univ.;1001;U. DE CHILE;2011;1.226;109.787;5.089;5.089
Univ.;1001;U. DE CHILE;2010;1.226;109.787;5.077;5.077
Univ.;1001;U. DE CHILE;2009;1.222;96.202;5.072;5.072
Univ.;1001;U. DE CHILE;2008;1.222;92.218;4.681;4.681
Univ.;1001;U. DE CHILE;2007;1.274;79.193;4.296;4.296
Univ.;1001;U. DE CHILE;2006;1.540;60.519;2.283;2.283
Univ.;1001;U. DE CHILE;2005;1.497;47.650;1.884;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2024;1.766;45.392;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2023;1.703;43.921;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2022;1.666;42.638;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2021;1.665;42.285;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2020;1.671;42.270;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2019;1.703;43.106;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2018;1.541;39.257;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2017;1.379;36.138;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2016;1.379;36.138;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2015;1.392;35.786;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2014;1.392;35.786;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2012;1.190;33.205;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2011;999;32.979;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2010;809;29.819;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2009;810;29.615;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2008;809;29.462;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2007;804;29.295;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2006;786;27.340;1.731;1.731
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2005;785;26.815;1.550;1.550
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2024;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2023;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2022;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2021;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2020;2;105;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2019;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2018;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2017;1;100;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2016;2;100;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2015;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2014;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2012;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2011;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2007;8;530;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2006;8;530;15;15
Univ.;1003;U. DE CONCEPCIÓN;2024;126;5.403;194;194
Univ.;1003;U. DE CONCEPCIÓN;2023;126;5.403;194;194
Univ.;1003;U. DE CONCEPCIÓN;2022;126;5.403;150;150
Univ.;1003;U. DE CONCEPCIÓN;2021;122;5.384;199;199
Univ.;1003;U. DE CONCEPCIÓN;2020;121;5.351;201;201
Univ.;1003;U. DE CONCEPCIÓN;2024;722;30.524;2.450;2.450
Univ.;1003;U. DE CONCEPCIÓN;2023;720;30.448;2.450;2.450
Univ.;1003;U. DE CONCEPCIÓN;2022;720;30.448;2.551;2.551
Univ.;1003;U. DE CONCEPCIÓN;2021;716;31.112;2.502;2.502
Univ.;1003;U. DE CONCEPCIÓN;2020;693;28.435;1.625;1.625
Univ.;1003;U. DE CONCEPCIÓN;2024;30;1.323;146;146
Univ.;1003;U. DE CONCEPCIÓN;2023;30;1.323;146;146
Univ.;1003;U. DE CONCEPCIÓN;2022;30;1.323;171;171
Univ.;1003;U. DE CONCEPCIÓN;2021;30;1.349;171;171
Univ.;1003;U. DE CONCEPCIÓN;2020;34;1.344;147;147
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;87;1.221;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2023;87;2.533;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;18;2.140;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2023;18;1.452;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;427;29.944;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2023;444;18.351;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2022;625;25.332;1;1
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2021;623;25.231;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2020;594;22.283;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2019;484;19.424;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2018;460;18.588;1;1
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2017;413;17.637;1;1
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2016;369;16.603;1.877;1.877
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2015;289;17.179;1.987;1.987
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2014;320;14.764;1.298;1.298
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2013;262;13.544;1.298;1.298
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2008;292;13.467;1.357;1.357
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2007;261;11.944;1.437;1.437
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2005;222;12.888;977;977
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;99;4.559;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2023;84;2.574;s/i;s/i
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2024;52;4.875;687;687
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2023;52;4.759;692;692
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2022;43;2.423;548;548
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2021;52;4.875;521;521
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2020;52;4.875;580;580
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2019;52;4.875;561;561
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2018;59;4.799;500;494
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2017;59;4.799;500;494
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2016;59;4.799;423;423
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2015;59;4.799;468;468
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2014;59;4.799;376;376
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2013;59;4.799;376;376
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2012;59;4.799;376;376
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2011;59;4.799;417;417
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2009;47;6.048;424;372
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2008;47;6.048;424;372
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2007;38;3.867;365;365
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2006;40;4.851;303;285
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2017;3;136;60;60
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2016;3;136;60;60
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2015;3;136;60;60
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2024;174;12.643;948;948
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2023;174;12.643;920;920
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2022;90;10.240;705;705
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2021;71;6.020;645;645
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2020;65;4.504;609;609
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2019;65;4.504;521;515
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2018;36;3.744;365;365
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2016;36;3.744;492;492
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2015;36;3.744;492;492
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2014;36;3.745;427;427
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2013;36;3.745;427;427
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2012;36;3.745;427;427
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2011;36;3.745;427;427
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2009;11;646;467;465
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2008;11;646;240;240
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2007;10;573;303;303
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2006;11;641;251;251
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2024;257;11.404;1.299;1.299
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2023;257;11.321;1.169;1.169
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2022;241;9.378;1.479;1.479
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2021;253;11.190;1.483;1.483
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2020;253;11.107;1.411;1.411
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2019;250;4.239;1.108;1.108
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2018;239;11.180;1.108;1.056
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2017;246;10.929;1.108;1.056
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2016;239;11.180;620;587
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2015;239;11.180;542;542
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2014;231;10.658;995;995
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2013;231;10.658;995;995
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2012;231;10.658;995;995
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2011;231;10.658;995;995
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2010;234;11.138;1.241;1.200
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2009;237;5.319;1.229;1.005
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2008;237;4.950;1.273;1.067
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2007;234;11.138;1.230;1.096
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2006;227;10.886;1.118;952
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2024;84;4.759;847;847
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2023;84;4.759;922;922
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2022;60;2.827;907;907
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2021;83;4.721;867;867
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2020;78;4.373;769;769
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2019;78;4.373;757;715
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2018;84;4.732;661;35
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2017;84;4.732;661;35
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2016;84;4.732;743;711
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2015;84;4.732;531;531
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2014;84;4.732;658;658
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2013;84;4.732;658;658
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2012;84;4.732;658;658
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2011;84;4.732;658;658
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2010;84;4.807;592;518
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2009;86;4.928;513;449
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2008;80;4.495;431;359
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2007;62;3.754;353;302
Univ.;1005;U. TÉCNICA FEDERICO SANTA MARÍA;2006;49;3.284;412;319
Univ.;1006;U. DE SANTIAGO DE CHILE;2024;470;28.262;6.468;6.468
Univ.;1006;U. DE SANTIAGO DE CHILE;2023;470;28.262;11.864;11.864
Univ.;1006;U. DE SANTIAGO DE CHILE;2022;451;25.776;10.536;10.536
Univ.;1006;U. DE SANTIAGO DE CHILE;2021;468;27.492;9.705;9.705
Univ.;1006;U. DE SANTIAGO DE CHILE;2020;450;27.177;8.580;8.580
Univ.;1006;U. DE SANTIAGO DE CHILE;2019;436;23.046;11.401;11.401
Univ.;1006;U. DE SANTIAGO DE CHILE;2018;310;4.248;10.158;10.158
Univ.;1006;U. DE SANTIAGO DE CHILE;2017;379;25.028;8.005;8.005
Univ.;1006;U. DE SANTIAGO DE CHILE;2016;309;26.462;6.753;6.753
Univ.;1006;U. DE SANTIAGO DE CHILE;2015;309;26.462;5.226;5.226
Univ.;1006;U. DE SANTIAGO DE CHILE;2014;309;26.462;5.994;5.994
Univ.;1006;U. DE SANTIAGO DE CHILE;2013;309;26.462;4.837;4.837
Univ.;1006;U. DE SANTIAGO DE CHILE;2012;308;26.295;5.420;5.420
Univ.;1006;U. DE SANTIAGO DE CHILE;2011;308;26.295;4.870;6.976
Univ.;1006;U. DE SANTIAGO DE CHILE;2010;308;26.295;4.870;6.976
Univ.;1006;U. DE SANTIAGO DE CHILE;2008;218;25.961;2.500;2.500
Univ.;1006;U. DE SANTIAGO DE CHILE;2007;218;25.961;2.500;2.500
Univ.;1006;U. DE SANTIAGO DE CHILE;2006;147;24.170;2.500;2.500
Univ.;1007;U. AUSTRAL DE CHILE;2024;5;252;20;20
Univ.;1007;U. AUSTRAL DE CHILE;2023;5;252;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2022;5;252;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2021;5;252;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2020;5;252;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2019;4;152;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2018;4;152;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2017;4;152;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2016;4;153;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2015;1;54;30;30
Univ.;1007;U. AUSTRAL DE CHILE;2014;1;54;24;24
Univ.;1007;U. AUSTRAL DE CHILE;2013;1;43;s/i;s/i
Univ.;1007;U. AUSTRAL DE CHILE;2012;1;43;s/i;s/i
Univ.;1007;U. AUSTRAL DE CHILE;2024;68;2.642;320;320
Univ.;1007;U. AUSTRAL DE CHILE;2023;68;2.642;328;328
Univ.;1007;U. AUSTRAL DE CHILE;2022;68;2.642;328;328
Univ.;1007;U. AUSTRAL DE CHILE;2021;66;2.450;328;328
Univ.;1007;U. AUSTRAL DE CHILE;2020;66;2.449;328;328
Univ.;1007;U. AUSTRAL DE CHILE;2019;62;2.247;328;328
Univ.;1007;U. AUSTRAL DE CHILE;2018;62;2.247;278;278
Univ.;1007;U. AUSTRAL DE CHILE;2017;54;1.880;297;297
Univ.;1007;U. AUSTRAL DE CHILE;2016;47;1.529;297;297
Univ.;1007;U. AUSTRAL DE CHILE;2015;41;1.306;278;266
Univ.;1007;U. AUSTRAL DE CHILE;2014;36;1.136;288;288
Univ.;1007;U. AUSTRAL DE CHILE;2013;78;6.746;75;70
Univ.;1007;U. AUSTRAL DE CHILE;2012;78;6.746;75;70
Univ.;1007;U. AUSTRAL DE CHILE;2010;78;2.075;75;70
Univ.;1007;U. AUSTRAL DE CHILE;2009;78;2.075;75;70
Univ.;1007;U. AUSTRAL DE CHILE;2008;78;2.075;75;70
Univ.;1007;U. AUSTRAL DE CHILE;2007;83;24.046;41;41
Univ.;1007;U. AUSTRAL DE CHILE;2006;15;6.100;36;36
Univ.;1007;U. AUSTRAL DE CHILE;2005;15;6.100;36;s/i
Univ.;1007;U. AUSTRAL DE CHILE;2024;578;23.716;405;405
Univ.;1007;U. AUSTRAL DE CHILE;2023;572;23.252;479;479
Univ.;1007;U. AUSTRAL DE CHILE;2022;583;23.560;479;479
Univ.;1007;U. AUSTRAL DE CHILE;2021;597;23.633;479;479
Univ.;1007;U. AUSTRAL DE CHILE;2020;532;21.241;479;479
Univ.;1007;U. AUSTRAL DE CHILE;2019;528;21.093;479;479
Univ.;1007;U. AUSTRAL DE CHILE;2018;527;20.985;586;586
Univ.;1007;U. AUSTRAL DE CHILE;2017;525;20.809;567;567
Univ.;1007;U. AUSTRAL DE CHILE;2016;452;18.566;567;567
Univ.;1007;U. AUSTRAL DE CHILE;2015;408;17.183;610;610
Univ.;1007;U. AUSTRAL DE CHILE;2014;421;17.211;537;537
Univ.;1007;U. AUSTRAL DE CHILE;2013;199;29.697;248;248
Univ.;1007;U. AUSTRAL DE CHILE;2012;199;29.697;248;248
Univ.;1007;U. AUSTRAL DE CHILE;2010;78;22.712;248;248
Univ.;1007;U. AUSTRAL DE CHILE;2009;78;22.712;248;248
Univ.;1007;U. AUSTRAL DE CHILE;2008;78;22.712;248;248
Univ.;1007;U. AUSTRAL DE CHILE;2007;83;24.046;822;822
Univ.;1007;U. AUSTRAL DE CHILE;2006;83;24.046;371;270
Univ.;1007;U. AUSTRAL DE CHILE;2005;81;23.746;371;270
Univ.;1008;U. CATÓLICA DEL NORTE;2024;303;13.588;1.087;1.087
Univ.;1008;U. CATÓLICA DEL NORTE;2023;303;13.588;1.053;1.053
Univ.;1008;U. CATÓLICA DEL NORTE;2022;303;13.588;1.087;1.087
Univ.;1008;U. CATÓLICA DEL NORTE;2021;325;14.638;1.087;1.087
Univ.;1008;U. CATÓLICA DEL NORTE;2020;303;14.319;1.087;1.087
Univ.;1008;U. CATÓLICA DEL NORTE;2019;220;16.544;1.087;1.087
Univ.;1008;U. CATÓLICA DEL NORTE;2018;219;16.479;1.146;1.146
Univ.;1008;U. CATÓLICA DEL NORTE;2017;199;12.595;1.146;1.146
Univ.;1008;U. CATÓLICA DEL NORTE;2016;205;15.454;1.059;1.059
Univ.;1008;U. CATÓLICA DEL NORTE;2015;205;15.350;1.059;1.059
Univ.;1008;U. CATÓLICA DEL NORTE;2014;200;14.971;1.044;1.044
Univ.;1008;U. CATÓLICA DEL NORTE;2013;200;14.971;1.044;1.044
Univ.;1008;U. CATÓLICA DEL NORTE;2012;200;14.971;1.002;1.002
Univ.;1008;U. CATÓLICA DEL NORTE;2011;199;14.838;1.150;1.150
Univ.;1008;U. CATÓLICA DEL NORTE;2010;199;14.838;1.078;1.078
Univ.;1008;U. CATÓLICA DEL NORTE;2009;193;14.826;1.523;1.523
Univ.;1008;U. CATÓLICA DEL NORTE;2008;197;15.056;1.086;1.086
Univ.;1008;U. CATÓLICA DEL NORTE;2007;181;12.358;1.085;1.085
Univ.;1008;U. CATÓLICA DEL NORTE;2006;181;12.358;850;850
Univ.;1008;U. CATÓLICA DEL NORTE;2005;176;12.105;795;795
Univ.;1008;U. CATÓLICA DEL NORTE;2024;195;5.035;707;707
Univ.;1008;U. CATÓLICA DEL NORTE;2023;195;5.035;806;806
Univ.;1008;U. CATÓLICA DEL NORTE;2022;195;5.035;707;707
Univ.;1008;U. CATÓLICA DEL NORTE;2021;194;6.209;707;707
Univ.;1008;U. CATÓLICA DEL NORTE;2020;195;6.209;707;707
Univ.;1008;U. CATÓLICA DEL NORTE;2019;189;5.684;707;707
Univ.;1008;U. CATÓLICA DEL NORTE;2018;189;5.684;650;650
Univ.;1008;U. CATÓLICA DEL NORTE;2017;142;5.030;650;650
Univ.;1008;U. CATÓLICA DEL NORTE;2016;142;8.709;742;742
Univ.;1008;U. CATÓLICA DEL NORTE;2015;142;8.389;742;742
Univ.;1008;U. CATÓLICA DEL NORTE;2014;121;7.369;676;676
Univ.;1008;U. CATÓLICA DEL NORTE;2013;121;7.369;676;676
Univ.;1008;U. CATÓLICA DEL NORTE;2012;121;7.369;529;529
Univ.;1008;U. CATÓLICA DEL NORTE;2011;121;7.369;428;422
Univ.;1008;U. CATÓLICA DEL NORTE;2010;113;7.028;304;304
Univ.;1008;U. CATÓLICA DEL NORTE;2009;110;6.861;396;396
Univ.;1008;U. CATÓLICA DEL NORTE;2008;102;6.675;384;384
Univ.;1008;U. CATÓLICA DEL NORTE;2007;102;6.675;346;346
Univ.;1008;U. CATÓLICA DEL NORTE;2006;94;6.425;337;337
Univ.;1008;U. CATÓLICA DEL NORTE;2005;94;6.426;290;286
Univ.;1009;U. DE LA SERENA;2007;10;470;s/i;s/i
Univ.;1009;U. DE LA SERENA;2006;10;470;45;20
Univ.;1009;U. DE LA SERENA;2005;7;470;42;18
Univ.;1009;U. DE LA SERENA;2024;304;17.365;852;852
Univ.;1009;U. DE LA SERENA;2023;302;17.261;1.421;1.421
Univ.;1009;U. DE LA SERENA;2022;305;17.443;1.421;1.421
Univ.;1009;U. DE LA SERENA;2021;301;17.089;1.421;1.421
Univ.;1009;U. DE LA SERENA;2020;282;15.751;1.421;1.421
Univ.;1009;U. DE LA SERENA;2019;278;15.128;1.063;1.063
Univ.;1009;U. DE LA SERENA;2018;277;14.875;1.063;1.063
Univ.;1009;U. DE LA SERENA;2017;262;13.727;1.060;1.058
Univ.;1009;U. DE LA SERENA;2016;262;13.727;1.033;1.029
Univ.;1009;U. DE LA SERENA;2015;229;13.707;882;852
Univ.;1009;U. DE LA SERENA;2014;355;15.601;1.111;1.111
Univ.;1009;U. DE LA SERENA;2013;343;15.254;1.111;1.111
Univ.;1009;U. DE LA SERENA;2012;343;15.254;1.111;1.111
Univ.;1009;U. DE LA SERENA;2011;343;15.254;1.111;1.111
Univ.;1009;U. DE LA SERENA;2010;342;15.218;1.111;1.111
Univ.;1009;U. DE LA SERENA;2007;324;14.290;s/i;s/i
Univ.;1009;U. DE LA SERENA;2006;324;13.752;660;280
Univ.;1009;U. DE LA SERENA;2005;53;13.810;610;250
Univ.;1009;U. DE LA SERENA;2007;8;459;s/i;s/i
Univ.;1009;U. DE LA SERENA;2006;8;459;60;40
Univ.;1009;U. DE LA SERENA;2005;6;626;39;22
Univ.;1010;U. DE ATACAMA;2024;153;7.674;780;760
Univ.;1010;U. DE ATACAMA;2023;160;9.610;760;730
Univ.;1010;U. DE ATACAMA;2022;159;9.600;758;720
Univ.;1010;U. DE ATACAMA;2021;156;9.559;750;700
Univ.;1010;U. DE ATACAMA;2020;151;6.991;630;600
Univ.;1010;U. DE ATACAMA;2019;103;6.991;620;580
Univ.;1010;U. DE ATACAMA;2018;129;6.991;620;580
Univ.;1010;U. DE ATACAMA;2017;119;6.991;594;475
Univ.;1010;U. DE ATACAMA;2016;119;6.284;521;418
Univ.;1010;U. DE ATACAMA;2015;119;6.284;469;366
Univ.;1010;U. DE ATACAMA;2014;81;6.127;411;411
Univ.;1010;U. DE ATACAMA;2013;81;6.127;308;308
Univ.;1010;U. DE ATACAMA;2012;53;4.039;274;274
Univ.;1010;U. DE ATACAMA;2011;53;4.039;274;274
Univ.;1010;U. DE ATACAMA;2010;53;4.039;274;274
Univ.;1010;U. DE ATACAMA;2007;62;6.147;274;274
Univ.;1010;U. DE ATACAMA;2006;48;3.140;280;280
Univ.;1010;U. DE ATACAMA;2005;48;3.140;347;347
Univ.;1010;U. DE ATACAMA;2006;1;s/i;34;34
Univ.;1010;U. DE ATACAMA;2005;1;s/i;11;11
Univ.;1010;U. DE ATACAMA;2024;11;611;75;73
Univ.;1010;U. DE ATACAMA;2023;10;592;73;76
Univ.;1010;U. DE ATACAMA;2022;15;690;73;76
Univ.;1010;U. DE ATACAMA;2021;12;687;70;70
Univ.;1010;U. DE ATACAMA;2020;12;687;70;70
Univ.;1010;U. DE ATACAMA;2019;9;514;70;70
Univ.;1010;U. DE ATACAMA;2018;9;514;70;70
Univ.;1010;U. DE ATACAMA;2017;7;493;70;70
Univ.;1010;U. DE ATACAMA;2016;7;493;66;72
Univ.;1010;U. DE ATACAMA;2015;3;157;45;45
Univ.;1010;U. DE ATACAMA;2014;3;157;30;30
Univ.;1010;U. DE ATACAMA;2013;3;157;25;25
Univ.;1010;U. DE ATACAMA;2012;3;157;33;33
Univ.;1010;U. DE ATACAMA;2011;3;157;33;33
Univ.;1010;U. DE ATACAMA;2010;3;157;29;27
Univ.;1010;U. DE ATACAMA;2007;2;142;18;18
Univ.;1010;U. DE ATACAMA;2006;2;s/i;22;22
Univ.;1010;U. DE ATACAMA;2005;2;68;22;22
Univ.;1011;U. DE VALPARAÍSO;2010;2;42;s/i;s/i
Univ.;1011;U. DE VALPARAÍSO;2009;2;42;s/i;s/i
Univ.;1011;U. DE VALPARAÍSO;2008;1;60;s/i;s/i
